ds,simulation,set,value
2004-05-01,sim_1,train,44154.09298881999
2004-06-01,sim_1,train,52650.63766181603
2004-07-01,sim_1,train,66764.52110594844
2004-08-01,sim_1,train,60409.85453271601
2004-09-01,sim_1,train,52280.980802473736
2004-10-01,sim_1,train,66567.22050024636
2004-11-01,sim_1,train,66162.1041463729
2004-12-01,sim_1,train,79176.7317215658
2005-01-01,sim_1,train,94559.39394520492
2005-02-01,sim_1,train,94199.19324547183
2005-03-01,sim_1,train,82100.83924133296
2005-04-01,sim_1,train,66902.72153896924
2005-05-01,sim_1,train,54021.97247313501
2005-06-01,sim_1,train,61582.04419450513
2005-07-01,sim_1,train,74537.50776178892
2005-08-01,sim_1,train,61704.9256588174
2005-09-01,sim_1,train,56470.52635108867
2005-10-01,sim_1,train,56953.32023567394
2005-11-01,sim_1,train,66484.71084577542
2005-12-01,sim_1,train,83115.14397843584
2006-01-01,sim_1,train,104361.77890712477
2006-02-01,sim_1,train,94767.31393207156
2006-03-01,sim_1,train,88856.47390284261
2006-04-01,sim_1,train,67648.45636800671
2006-05-01,sim_1,train,54189.04475431867
2006-06-01,sim_1,train,48911.20261143499
2006-07-01,sim_1,train,64070.36319326879
2006-08-01,sim_1,train,54613.971604600076
2006-09-01,sim_1,train,45054.84142589172
2006-10-01,sim_1,train,53202.846928368745
2006-11-01,sim_1,train,49301.96502673402
2006-12-01,sim_1,train,67228.21065949694
2007-01-01,sim_1,train,91386.73214411057
2007-02-01,sim_1,train,94986.67719700544
2007-03-01,sim_1,train,76810.11662797155
2007-04-01,sim_1,train,60083.78450227404
2007-05-01,sim_1,train,44623.70639031171
2007-06-01,sim_1,train,52269.60287507578
2007-07-01,sim_1,train,63084.25589976965
2007-08-01,sim_1,train,52764.80642842902
2007-09-01,sim_1,train,47764.05944166321
2007-10-01,sim_1,train,49268.31729785337
2007-11-01,sim_1,train,57357.81605746317
2007-12-01,sim_1,train,69063.09861159902
2008-01-01,sim_1,train,90805.42149265387
2008-02-01,sim_1,train,90761.70136867724
2008-03-01,sim_1,train,88131.82861697955
2008-04-01,sim_1,train,56523.62866818627
2008-05-01,sim_1,train,45289.08650104686
2008-06-01,sim_1,train,42425.8213384953
2008-07-01,sim_1,train,57381.64662554933
2008-08-01,sim_1,train,60421.515574662735
2008-09-01,sim_1,train,59756.55771404028
2008-10-01,sim_1,train,59963.741857270856
2008-11-01,sim_1,train,60785.54278668693
2008-12-01,sim_1,train,72424.29934935606
2009-01-01,sim_1,train,94680.9829148503
2009-02-01,sim_1,train,94764.5701003754
2009-03-01,sim_1,train,101537.6537483102
2009-04-01,sim_1,train,70613.74529079499
2009-05-01,sim_1,train,41665.228321231414
2009-06-01,sim_1,train,41524.57152525896
2009-07-01,sim_1,train,54255.975529896474
2009-08-01,sim_1,train,58059.71599278592
2009-09-01,sim_1,train,63774.31718137897
2009-10-01,sim_1,train,74949.33839106449
2009-11-01,sim_1,train,80564.72631408612
2009-12-01,sim_1,train,93126.89877863498
2010-01-01,sim_1,train,94191.58930195507
2010-02-01,sim_1,train,72587.5614162895
2010-03-01,sim_1,train,120725.13580074433
2010-04-01,sim_1,train,79947.7740326238
2010-05-01,sim_1,train,19272.845445031475
2010-06-01,sim_1,train,50778.26415091278
2010-07-01,sim_1,train,62792.77505921254
2010-08-01,sim_1,train,181925.73625478952
2010-09-01,sim_1,train,82726.64220655075
2010-10-01,sim_1,train,57695.925543748526
2010-11-01,sim_1,train,82185.52780923832
2010-12-01,sim_1,train,83388.03688677729
2011-01-01,sim_1,train,101109.57553141325
2011-02-01,sim_1,train,105561.04664480806
2011-03-01,sim_1,train,118221.26018877247
2011-04-01,sim_1,train,81871.91158997915
2011-05-01,sim_1,train,67045.11435579477
2011-06-01,sim_1,train,67986.34375500552
2011-07-01,sim_1,train,79607.52372108036
2011-08-01,sim_1,train,77030.29308184893
2011-09-01,sim_1,train,51059.34357271377
2011-10-01,sim_1,train,76385.42482038501
2011-11-01,sim_1,train,86086.81612688105
2011-12-01,sim_1,train,117322.77737789013
2012-01-01,sim_1,train,106042.067879275
2012-02-01,sim_1,train,123966.79607798139
2012-03-01,sim_1,train,129533.07103047217
2012-04-01,sim_1,train,91162.72996198054
2012-05-01,sim_1,train,73638.62824717315
2012-06-01,sim_1,train,88695.6591889537
2012-07-01,sim_1,train,94710.36508571715
2012-08-01,sim_1,train,80712.64652724101
2012-09-01,sim_1,train,67177.0848052432
2012-10-01,sim_1,train,89649.62277746509
